Entity,Code,Year,Government expenditure on pre-primary education as % of GDP (%)
Andorra,AND,2002,0.341630011796951
Andorra,AND,2004,0.30153998732566806
Andorra,AND,2005,0.269959986209869
Andorra,AND,2006,0.41403999924659707
Andorra,AND,2007,0.40222001075744607
Andorra,AND,2009,0.40553000569343606
Andorra,AND,2010,0.447890013456345
Andorra,AND,2011,0.456820011138916
Andorra,AND,2013,0.448260009288788
Andorra,AND,2014,0.423260003328323
Angola,AGO,2006,0.308809995651245
Antigua and Barbuda,ATG,1999,0.123889997601509
Antigua and Barbuda,ATG,2002,0.0725599974393845
Antigua and Barbuda,ATG,2009,0.0066900001838803
Argentina,ARG,1998,0.293769985437393
Argentina,ARG,1999,0.29227000474929804
Argentina,ARG,2000,0.355369985103607
Argentina,ARG,2001,0.40235000848770097
Argentina,ARG,2002,0.314619988203049
Argentina,ARG,2003,0.301829993724823
Argentina,ARG,2004,0.262010008096695
Argentina,ARG,2005,0.273589998483658
Argentina,ARG,2006,0.26251000165939303
Argentina,ARG,2007,0.293370008468628
Argentina,ARG,2008,0.34845000505447404
Argentina,ARG,2009,0.37035000324249295
Argentina,ARG,2010,0.342579990625381
Argentina,ARG,2011,0.40522000193595903
Argentina,ARG,2012,0.3988499939441679
Argentina,ARG,2013,0.43852001428604104
Armenia,ARM,2008,0.26704999804496804
Armenia,ARM,2009,0.43421000242233293
Armenia,ARM,2011,0.283060014247894
Armenia,ARM,2012,0.280919998884201
Armenia,ARM,2013,0.29030001163482694
Aruba,ABW,1998,0.198379993438721
Aruba,ABW,1999,0.235520005226135
Aruba,ABW,2000,0.333700001239777
Aruba,ABW,2001,0.26820999383926397
Aruba,ABW,2002,0.270000010728836
Aruba,ABW,2004,0.284209996461868
Aruba,ABW,2005,0.31784000992775
Australia,AUS,2000,0.0605400018393993
Australia,AUS,2005,0.0508700013160706
Australia,AUS,2006,0.0483199991285801
Australia,AUS,2007,0.0432099997997284
Australia,AUS,2008,0.043249998241663
Australia,AUS,2009,0.0572500005364418
Australia,AUS,2010,0.064970001578331
Australia,AUS,2011,0.111230000853539
Australia,AUS,2012,0.12262000143528
Australia,AUS,2013,0.14417999982833898
Austria,AUT,1998,0.48282998800277704
Austria,AUT,1999,0.448669999837875
Austria,AUT,2000,0.426990002393723
Austria,AUT,2001,0.418509989976883
Austria,AUT,2002,0.429390013217926
Austria,AUT,2003,0.40571999549865706
Austria,AUT,2004,0.388740003108978
Austria,AUT,2005,0.39096999168396
Austria,AUT,2006,0.38596001267433205
Austria,AUT,2007,0.392450004816055
Austria,AUT,2008,0.442209988832474
Austria,AUT,2009,0.529359996318817
Austria,AUT,2010,0.59127002954483
Austria,AUT,2011,0.574750006198883
Austria,AUT,2012,0.42045998573303206
Austria,AUT,2013,0.46724998950958296
Azerbaijan,AZE,1998,0.31422001123428306
Azerbaijan,AZE,1999,0.36243000626564004
Azerbaijan,AZE,2000,0.296750009059906
Azerbaijan,AZE,2001,0.28576999902725203
Azerbaijan,AZE,2002,0.255400002002716
Azerbaijan,AZE,2003,0.258799999952316
Azerbaijan,AZE,2004,0.250629991292953
Azerbaijan,AZE,2005,0.204040005803108
Azerbaijan,AZE,2006,0.17064000666141502
Azerbaijan,AZE,2007,0.162829995155334
Azerbaijan,AZE,2008,0.168099999427795
Azerbaijan,AZE,2009,0.218020007014275
Azerbaijan,AZE,2010,0.196070000529289
Azerbaijan,AZE,2011,0.16943000257015198
Barbados,BRB,1999,0.227009996771812
Barbados,BRB,2000,0.28527000546455394
Barbados,BRB,2001,0.391420006752014
Barbados,BRB,2002,0.391400009393692
Barbados,BRB,2003,0.418489992618561
Barbados,BRB,2004,0.35122999548912
Barbados,BRB,2005,0.347429990768433
Barbados,BRB,2008,0.0192200001329184
Belarus,BLR,2004,1.0353300571441701
Belarus,BLR,2005,1.01986002922058
Belarus,BLR,2006,1.00571000576019
Belarus,BLR,2007,0.974969983100891
Belarus,BLR,2009,0.9432600140571591
Belarus,BLR,2010,1.02745997905731
Belarus,BLR,2011,1.0194400548934899
Belgium,BEL,2001,0.534030020236969
Belgium,BEL,2002,0.549570024013519
Belgium,BEL,2003,0.5651199817657471
Belgium,BEL,2004,0.5591700077056879
Belgium,BEL,2005,0.552089989185333
Belgium,BEL,2006,0.5563899874687189
Belgium,BEL,2007,0.5559700131416321
Belgium,BEL,2008,0.5781800150871279
Belgium,BEL,2009,0.5855900049209589
Belgium,BEL,2010,0.607219994068146
Belgium,BEL,2011,0.6097099781036379
Belgium,BEL,2012,0.669690012931824
Belize,BLZ,1999,0.0557500012218952
Belize,BLZ,2000,0.0052399998530745
Belize,BLZ,2004,0.0293199997395277
Belize,BLZ,2005,0.0280900001525879
Belize,BLZ,2008,0.0919099971652031
Belize,BLZ,2009,0.106009997427464
Belize,BLZ,2010,0.100349999964237
Belize,BLZ,2013,0.08941999822855
Benin,BEN,2000,0.034000001847743995
Benin,BEN,2001,0.0388900004327297
Benin,BEN,2006,0.0522399991750717
Benin,BEN,2007,0.0538400001823902
Benin,BEN,2008,0.0483799986541271
Benin,BEN,2009,0.0579200014472008
Benin,BEN,2010,0.12831999361514998
Benin,BEN,2012,0.104979999363422
Benin,BEN,2013,0.11298000067472501
Benin,BEN,2014,0.18579000234603896
Bermuda,BMU,1998,0.11579000204801598
Bermuda,BMU,2004,0.135969996452332
Bermuda,BMU,2005,0.138569995760918
Bermuda,BMU,2010,0.23473000526428198
Bermuda,BMU,2014,0.1336600035429
Bolivia,BOL,1998,0.241909995675087
Bolivia,BOL,1999,0.289750009775162
Bolivia,BOL,2000,0.34637001156806896
Bolivia,BOL,2001,0.16527999937534302
Bolivia,BOL,2002,0.195120006799698
Bolivia,BOL,2003,0.210179999470711
Bolivia,BOL,2006,0.15956999361514998
Bolivia,BOL,2008,0.173079997301102
Bolivia,BOL,2009,0.21040000021457697
Bolivia,BOL,2010,0.21061000227928198
Bolivia,BOL,2011,0.28472998738288896
Bolivia,BOL,2012,0.28475001454353305
Bolivia,BOL,2013,0.276410013437271
Bolivia,BOL,2014,0.36686000227928206
Botswana,BWA,2009,0.0002300000051036
Brazil,BRA,1998,0.38238999247551003
Brazil,BRA,1999,0.35209000110626204
Brazil,BRA,2000,0.338759988546371
Brazil,BRA,2001,0.320030003786087
Brazil,BRA,2002,0.293660014867783
Brazil,BRA,2004,0.348960012197495
Brazil,BRA,2005,0.36713001132011397
Brazil,BRA,2006,0.36636999249458296
Brazil,BRA,2007,0.39699000120163
Brazil,BRA,2008,0.40106999874115007
Brazil,BRA,2009,0.384319990873337
Brazil,BRA,2010,0.42982000112533597
Brazil,BRA,2011,0.506980001926422
Brazil,BRA,2012,0.59867000579834
Bulgaria,BGR,1998,0.5292400121688839
Bulgaria,BGR,2001,0.557139992713928
Bulgaria,BGR,2002,0.595669984817505
Bulgaria,BGR,2003,0.6603699922561651
Bulgaria,BGR,2004,0.43959999084472706
